Numero	Code	Browser	Appl	Goog	Twtr.	One	FB	FBM	Sams.	Wind.	GMail	SB	DCM	KDDI	CLDR Short Name
1	U+1F600	😀	😀	😀	😀	😀	😀	😀	😀	😀	😀	—	—	—	grinning face
2	U+1F601	😁	😁	😁	😁	😁	😁	😁	😁	😁	😁	😁	😁	😁	beaming face with smiling eyes
3	U+1F602	😂	😂	😂	😂	😂	😂	😂	😂	😂	😂	😂	—	😂	face with tears of joy
4	U+1F923	🤣	🤣	🤣	🤣	🤣	🤣	—	🤣	🤣	—	—	—	—	rolling on the floor laughing
5	U+1F603	😃	😃	😃	😃	😃	😃	😃	😃	😃	😃	😃	😃	😃	grinning face with big eyes
6	U+1F604	😄	😄	😄	😄	😄	😄	😄	😄	😄	😄	😄	—	—	grinning face with smiling eyes
7	U+1F605	😅	😅	😅	😅	😅	😅	😅	😅	😅	😅	—	😅	—	grinning face with sweat
8	U+1F606	😆	😆	😆	😆	😆	😆	😆	😆	😆	😆	—	😆	—	grinning squinting face
9	U+1F609	😉	😉	😉	😉	😉	😉	😉	😉	😉	😉	😉	😉	😉	winking face
10	U+1F60A	😊	😊	😊	😊	😊	😊	😊	😊	😊	😊	😊	—	😊	smiling face with smiling eyes
11	U+1F60B	😋	😋	😋	😋	😋	😋	😋	😋	😋	😋	—	😋	—	face savoring food
12	U+1F60E	😎	😎	😎	😎	😎	😎	😎	😎	😎	😎	—	—	—	smiling face with sunglasses
13	U+1F60D	😍	😍	😍	😍	😍	😍	😍	😍	😍	😍	😍	😍	😍	smiling face with heart-eyes
14	U+1F618	😘	😘	😘	😘	😘	😘	😘	😘	😘	😘	😘	—	😘	face blowing a kiss
15	U+1F617	😗	😗	😗	😗	😗	😗	😗	😗	😗	—	—	—	—	kissing face
16	U+1F619	😙	😙	😙	😙	😙	😙	😙	😙	😙	—	—	—	—	kissing face with smiling eyes
17	U+1F61A	😚	😚	😚	😚	😚	😚	😚	😚	😚	😚	😚	—	😚	kissing face with closed eyes
18	U+263A	☺	☺	☺	☺	☺	☺	☺	☺	☺	☺	☺	—	☺	smiling face
19	U+1F642	🙂	🙂	🙂	🙂	🙂	🙂	🙂	🙂	🙂	🙂	—	—	—	slightly smiling face
20	U+1F917	🤗	🤗	🤗	🤗	🤗	🤗	—	🤗	🤗	—	—	—	—	hugging face
22	U+1F914	🤔	🤔	🤔	🤔	🤔	🤔	—	🤔	🤔	—	—	—	—	thinking face
24	U+1F610	😐	😐	😐	😐	😐	😐	😐	😐	😐	—	—	—	—	neutral face
25	U+1F611	😑	😑	😑	😑	😑	😑	😑	😑	😑	—	—	—	—	expressionless face
26	U+1F636	😶	😶	😶	😶	😶	😶	😶	😶	😶	—	—	—	—	face without mouth
27	U+1F644	🙄	🙄	🙄	🙄	🙄	🙄	—	🙄	🙄	—	—	—	—	face with rolling eyes
28	U+1F60F	😏	😏	😏	😏	😏	😏	😏	😏	😏	😏	😏	😏	😏	smirking face
29	U+1F623	😣	😣	😣	😣	😣	😣	😣	😣	😣	😣	😣	😣	😣	persevering face
30	U+1F625	😥	😥	😥	😥	😥	😥	😥	😥	😥	😥	😥	—	—	sad but relieved face
31	U+1F62E	😮	😮	😮	😮	😮	😮	😮	😮	😮	—	—	—	—	face with open mouth
32	U+1F910	🤐	🤐	🤐	🤐	🤐	🤐	—	🤐	🤐	—	—	—	—	zipper-mouth face
33	U+1F62F	😯	😯	😯	😯	😯	😯	😯	😯	😯	—	—	—	—	hushed face
34	U+1F62A	😪	😪	😪	😪	😪	😪	😪	😪	😪	😪	😪	—	😪	sleepy face
35	U+1F62B	😫	😫	😫	😫	😫	😫	😫	😫	😫	😫	—	—	😫	tired face
36	U+1F634	😴	😴	😴	😴	😴	😴	😴	😴	😴	—	—	—	—	sleeping face
37	U+1F60C	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	😌	relieved face
38	U+1F61B	😛	😛	😛	😛	😛	😛	😛	😛	😛	—	—	—	—	face with tongue
39	U+1F61C	😜	😜	😜	😜	😜	😜	😜	😜	😜	😜	😜	😜	😜	winking face with tongue
40	U+1F61D	😝	😝	😝	😝	😝	😝	😝	😝	😝	😝	😝	—	—	squinting face with tongue
42	U+1F612	😒	😒	😒	😒	😒	😒	😒	😒	😒	😒	😒	😒	😒	unamused face
43	U+1F613	😓	😓	😓	😓	😓	😓	😓	😓	😓	😓	😓	😓	😓	downcast face with sweat
44	U+1F614	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	😔	pensive face
45	U+1F615	😕	😕	😕	😕	😕	😕	😕	😕	😕	😕	—	—	—	confused face
47	U+1F911	🤑	🤑	🤑	🤑	🤑	🤑	—	🤑	🤑	—	—	—	—	money-mouth face
48	U+1F632	😲	😲	😲	😲	😲	😲	😲	😲	😲	😲	😲	—	😲	astonished face
49	U+2639	☹	☹	☹	☹	☹	☹	—	☹	☹	—	—	—	—	frowning face
50	U+1F641	🙁	🙁	🙁	🙁	🙁	🙁	—	🙁	🙁	—	—	—	—	slightly frowning face
51	U+1F616	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	😖	confounded face
52	U+1F61E	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	😞	—	disappointed face
53	U+1F61F	😟	😟	😟	😟	😟	😟	😟	😟	😟	😟	—	—	—	worried face
54	U+1F624	😤	😤	😤	😤	😤	😤	😤	😤	😤	😤	—	—	😤	face with steam from nose
